LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
100005,albertville city,AL,town-distant,2016-2017,0.293739673214614,0.5507618872774,3.19441894620892,46.7413255002754,46.7780429594272,2.44171103359648,5447,Diverse,0.0115560814900008,Highly integrated
100007,hoover city,AL,city-small,2016-2017,0.0932701965848759,6.67958100157842,24.6807289424595,7.75577557755776,56.701104893098,4.08953938872148,13938,Diverse,0.0315555345249351,Highly integrated
100008,madison city,AL,suburban-large,2016-2017,0.593869731800766,8.9176245210728,20.3735632183908,5.11494252873563,60.6992337164751,4.3007662835249,10440,Diverse,0.0026566015050741,Highly integrated
100120,athens city,AL,town-fringe,2016-2017,0.721709006928406,1.84757505773672,20.8140877598152,18.2448036951501,51.9919168591224,6.37990762124711,3464,Diverse,0.0035202249849399,Highly integrated
100190,alabaster city,AL,suburban-large,2016-2017,0.179914949296696,1.32482826300294,19.2181877657834,17.844291789336,58.4232908079817,3.00948642459928,6114,Diverse,0.0024128794162156,Highly integrated
100210,auburn city,AL,city-small,2016-2017,0.0702329392485075,10.6168793163994,25.1082757813414,4.74072339927426,57.9421748800187,1.52171368371766,8543,Diverse,0.0031115946072545,Highly integrated
100240,autauga county,AL,suburban-large,2016-2017,0.279359621790051,2.61093800365316,24.9167293435049,2.80434081873858,67.2719458472118,2.11668636510154,9307,Diverse,0.0979574850331677,Somewhat integrated
100270,baldwin county,AL,rural-fringe,2016-2017,0.371628115589159,1.06362529634139,12.61293009547,8.25591080925226,73.3645159223425,4.33138976100468,31214,Diverse,0.0776677957411587,Highly integrated
100360,bibb county,AL,town-distant,2016-2017,0.121543603767852,0.21270130659374,22.120935885749,2.79550288666059,73.8681251899119,0.881191127316925,3291,Diverse,0.112417348484372,Somewhat integrated
100510,butler county,AL,town-distant,2016-2017,0.223570744171191,0.670712232513574,62.8872564675822,1.08591504311721,33.9508144362823,1.18173107633344,3131,Diverse,0.142450629255466,Somewhat integrated
100600,chambers county,AL,town-distant,2016-2017,0.191728293618187,0.547795124623391,47.6855655984662,2.30073952341824,48.3155299917831,0.958641468090934,3651,Diverse,0.178141553709394,Somewhat integrated
100660,chilton county,AL,rural-distant,2016-2017,0.16761217122228,0.425477050025787,11.7457452294997,14.4662197008767,71.1320268179474,2.06291903042806,7756,Diverse,0.0260415022651766,Highly integrated
100720,clarke county,AL,town-remote,2016-2017,0.297287253808993,0.520252694165738,65.1802303976217,1.04050538833148,32.1441843180974,0.817539947974731,2691,Diverse,0.0022401349083797,Highly integrated
100870,conecuh county,AL,rural-fringe,2016-2017,0.753498385360603,0.322927879440258,69.967707212056,1.82992465016146,26.5877287405813,0.538213132400431,1858,Diverse,0.0875822518900884,Somewhat integrated
101140,dekalb county,AL,rural-distant,2016-2017,13.0776903468913,0.144076249584395,0.942037016513355,29.8348664523994,55.5358528205697,0.465477114041893,9023,Diverse,0.338896492641383,Not integrated
101170,decatur city,AL,city-small,2016-2017,0.332950631458094,1.26291618828932,30.1836969001148,25.8668197474168,38.6222732491389,3.73134328358209,8710,Diverse,0.108827874233741,Somewhat integrated
101230,dothan city,AL,city-small,2016-2017,0.195376098990557,1.61727993053294,55.8667100835776,5.38369694996201,35.5041788776729,1.43275805926408,9213,Diverse,0.175931116453193,Somewhat integrated
101290,elmore county,AL,suburban-large,2016-2017,0.332836997459928,0.867127967066655,26.9860733993168,4.03783831129018,65.0258386616449,2.75028466322151,11417,Diverse,0.103534013455546,Somewhat integrated
101320,enterprise city,AL,town-distant,2016-2017,0.794100964265457,2.28304027226319,21.9370391378332,12.3085649461146,58.621667612025,4.05558706749858,7052,Diverse,0.0203987868385665,Highly integrated
101350,escambia county,AL,town-distant,2016-2017,4.69525959367946,0.18058690744921,41.2866817155756,1.94130925507901,49.9774266365689,1.91873589164786,4430,Diverse,0.373844159413671,Not integrated
101530,florence city,AL,city-small,2016-2017,0.0894854586129754,0.805369127516779,32.8187919463087,9.53020134228188,48.6129753914989,8.14317673378076,4470,Diverse,0.0828052568956365,Somewhat integrated
101620,gadsden city,AL,city-small,2016-2017,0.290360046457607,0.909794812233837,46.9802555168409,12.9500580720093,37.5338753387534,1.33565621370499,5166,Diverse,0.177348878887943,Somewhat integrated
101710,hale county,AL,town-fringe,2016-2017,0.0,0.0382995021064726,68.0965147453083,1.60857908847185,29.7204136346228,0.536193029490617,2611,Diverse,0.333769276132631,Not integrated
101800,huntsville city,AL,city-midsize,2016-2017,0.47864813119121,2.06859235827853,40.1981187047365,12.199284108882,39.2491467576792,5.8062099392325,24026,Diverse,0.287048591671606,Not integrated
101920,jefferson county,AL,suburban-large,2016-2017,0.171816544270472,0.631841485381738,48.7626437577941,8.56588610225856,41.5463488984343,0.321463211860884,36085,Diverse,0.365925065126374,Not integrated
102040,lawrence county,AL,town-distant,2016-2017,11.9269861024684,0.477079444098735,9.95644057249533,3.40178386226924,71.7485998755445,2.48911014312383,4821,Diverse,0.253204626346656,Not integrated
102070,lee county,AL,suburban-large,2016-2017,0.455816844504299,0.631927898062778,22.9565938050347,5.63555371387134,66.5906971925826,3.72941054594427,9653,Diverse,0.115669465286041,Somewhat integrated
102220,madison county,AL,suburban-large,2016-2017,6.11823067383216,1.7207523770153,19.6672178586193,4.23728813559322,65.5332782141381,2.72323274080198,19352,Diverse,0.0541713273091044,Highly integrated
